A1,M,DOUGLAS,"A1, EA1, AD Skyraider"
A10,M,"FAIRCHILD, US","A10, OA10 Thunderbolt 2"
A109,L,AGUSTA,"A109, Power"
A119,L,AGUSTA,A119 Koala
A122,L,AEROTEC,A122 Uirapuru (T23)
A124,H,ANTONOV,An124 Ruslan
A129,L,AGUSTA,A129 Mangusta
A139,L,AGUSTA,AB139
A140,M,ANTONOV,An140
A148,M,ANTONOV,An148
A15S,L,STEMME,S-15
A19,L,AEROPRACT,A19
A19N,M,AIRBUS,A319 Neo
A20,M,DOUGLAS,A20 Havoc
A20J,L,SCHLEICHER,ASW-20J
A20N,M,AIRBUS,A320 Neo
A21,L,AEROPRACT,A21 Solo
A210,M,AQUILA,A210
A211,L,ALFA­M,A211
A21N,M,AIRBUS,A321 Neo
A22,L,SADLER,A22 Piranha
A225,H,ANTONOV,An225 Mriya
A23,L,AEROPRACT,A23 Dragon
A25,L,AEROPRACT,A25 Breeze
A27,M,AEROPRACT,A27
A270,L,"AERO VODOCHODY, CZECH",Ae270 Ibis
A3,M,DOUGLAS,"A3, ERA3, NRA3, TA3 Skywarrior"
A306,H,AIRBUS,A300B4600
A30B,H,AIRBUS,"A300B2/41/2/100/200, A300C4200"
A310,H,AIRBUS,A310 (CC150 Polaris)
A318,M,AIRBUS,A318
A319,M,AIRBUS,A319
A320,M,AIRBUS,A320
A321,M,AIRBUS,A321
A332,H,AIRBUS,A330-200
A333,H,AIRBUS,A330-300
A337,H,AIRBUS,A330-700 Beluga XL
A338,H,AIRBUS,A330-800
A339,H,AIRBUS,A330-900
A342,H,AIRBUS,A340-200
A343,H,AIRBUS,A340-300
A345,H,AIRBUS,A340-500
A346,H,AIRBUS,A340-600
A358,H,AIRBUS,A350-800
A359,H,AIRBUS,A350-900
A35K,H,AIRBUS,A350-1000
A37,L,CESSNA,"A37 Dragonfly (318D/E), OA37"
A388,J,AIRBUS,A380-800
A3ST,H,AIRBUS,"A300ST Super Transporter, Beluga"
A4,M,DOUGLAS,"A4, TA4 Skyhawk"
A400,H,AIRBUS,A400M
A5,L,ICON,A-5
A50,H,BERIEV,"A50, Be976"
A500,L,ADAM (2),"A500, Carbon Aero"
A504,L,AVRO,"504, Replica"
A6,M,GRUMMAN,"A6, EA6, KA6 Intruder, Prowler (G128)"
A660,M,AYRES,660 Turbo Thrush
A7,M,LTV,"A7, EA7, TA7 Corsair"
A748,M,AIL,748
A890,L,AVIATIKA,890
A9,L,AAMSA,A9 Quail
A900,L,AVIATIKA,900 Acrobat
A960,L,AVIATIKA,910/960
AA1,L,AMERICAN,"AA1 Yankee, Trainer, Tr2"
AA5,L,AMERICAN,AA5 Traveler
AB11,L,AERO BOERO,AB115
AB15,L,AERO BOERO,AB150
AB18,L,AERO BOERO,AB180
AB95,L,AERO BOERO,AB95
AC11,L,COMMANDER,Commander 114/115
AC50,L,AERO COMMANDER,500 Commander 500
AC52,L,"AERO DESIGN & ENGINEERING CO, US",Commander 520
AC56,L,AERO COMMANDER,560 Commander 560
AC68,L,AERO COMMANDER,"680F, 680FP Commander 680F/680FP"
AC6L,L,AERO COMMANDER,680FL Grand Commander
AC72,L,AERO COMMANDER,720 Alti Cruiser
AC80,L,AERO COMMANDER,"680T, 680V Turbo Commander"
AC90,L,GULFSTREAM AEROSPACE,690 Jetprop Commander 840/900
AC95,L,GULFSTREAM AEROSPACE,695 Jetprop Commander 980/1000
ACAM,M,LEZA­LOCKWOOD,Air Cam
ACAR,L,AUSTER,J5B/E/G/H/P/T/V Autocar
ACED,L,POWELL,P70 Acey Deucy
ACJR,L,SPENCER,Air Car Junior
ACPL,L,OPTION AIR,Acapella
ACR2,L,ACRO SPORT,AcroSport 2
ACRD,L,"AVIA, RUSSIA",Accord
ACRO,L,ACRO SPORT,"AcroSport 1, Super AcroSport"
ACSR,M,MILLICER,M9 Aircruiser
AD20,L,BEIJING KEYUAN,AD200
ADVE,L,AUSTER,J5 Adventurer
ADVN,L,ADVENTURE AIR,Adventurer
AE45,L,"AERO VODOCHODY, CZECH",45
AEA1,L,AMERICAN EAGLE,A1/101
AEST,L,"AEROSTAR, US","600, 601"
AG02,L,GATARD,AG02 Poussin
AGSH,L,AERO GARE,Sea Hawker
AIGT,L,AUSTER,J5F/K/L Aiglet Trainer
AIRD,L,BEAGLE,A109 Airedale
AJET,M,AOI,Alpha Jet
AK1,L,AKAFLIEG KARLSRUHE,AK1
AKRO,L,STEPHENS,Akro
ALC1,M,ALTAIR COELHO,AC11
ALH,L,HINDUSTAN,ALH
ALIZ,M,BREGUET,1050 Alizé
ALO2,L,AEROSPATIALE,SA318 Alouette 2
ALO3,L,AEROSPATIALE,SA316/319 Alouette 3 (HD16)
ALPI,L,AUSTER,J5Q/R Alpine
AM3,L,AERFER,AM3
AMX,M,AERITALIA,AMX
AN12,M,ANTONOV,An12
AN2,L,ANTONOV,An2
AN22,H,ANTONOV,An22 Antheus
AN24,M,ANTONOV,An24
AN26,M,ANTONOV,An26
AN28,L,ANTONOV,An28
AN3,L,ANTONOV,An3
AN30,M,ANTONOV,An30
AN32,M,ANTONOV,"An32, Firekiller (Sutlej)"
AN38,M,ANTONOV,An38
AN70,M,ANTONOV,An70
AN72,M,ANTONOV,An72/74
AN8,M,ANTONOV,An8
ANGL,L,KING?S,44 Angel
ANKA,L,TAI,Anka
ANSN,L,AVRO,652 Anson
ANST,L,KAZAN,Ansat
AP20,L,AEROPRAKT,"A20, Sky Cruiser, Super Cruiser"
AP26,L,AEROPRAKT,"A26, Vulcan"
AP28,L,AEROPRAKT,"A28, Victor"
APM2,L,MONIOT,"APM20/21 Lionceau, Lion"
AR11,L,AERONCA,11 Chief
AR15,L,AERONCA,15 Sedan
AR79,L,ARADO,Ar79
ARES,L,RUTAN,151 Ares
ARON,L,GENERAL AVIA,F220 Airone
ARV1,L,ARV,ARV1 Super 2
ARVA,L,IAI,"101, 102, 201, 202 Arava"
ARWF,L,"ARROW, US",F Sport
AS02,L,FFA,"AS20215/18/26 Bravo, Wren"
AS14,L,SCHLEICHER,ASK14
AS16,L,SCHLEICHER,ASK16
AS20,L,SCHLEICHER,ASW20TOP
AS21,L,SCHLEICHER,ASK-21Mi
AS22,L,SCHLEICHER,ASW22BE/BLE
AS24,L,SCHLEICHER,ASW24E/TOP
AS25,L,SCHLEICHER,ASH25E/M
AS26,L,SCHLEICHER,ASH26E
AS2T,L,FFA,AS20232TP Turbine Bravo
AS32,M,AEROSPATIALE,"AS332/532 Super Puma, Tiger, Cougar (Hkp10 HD21, HT21)"
AS50,L,AEROSPATIALE,"AS350/550 Ecureuil, AStar, SuperStar, Fennec"
